year,univ_cd,gyoyuk_jusu_gb,gaeseol_hakgi_gb,gyoyuk_jusu_euiye_1,gyoyuk_jusu_euiye_2,gyoyuk_jusu_euihak_1,gyoyuk_jusu_euihak_2,gyoyuk_jusu_euihak_3,gyoyuk_jusu_euihak_4
2021-09-17 14:44:39.836000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,
2020,UNIV24,2,1,2,2,3,3,2,2
2020,UNIV24,2,2,2,2,4,4,,
2021-08-27 13:54:54.027000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,
2021-08-27 13:54:54.029000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,
2021-09-03 17:14:36.641000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2021-09-03 17:14:36.641000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2021-09-03 17:15:08.146000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2021-09-03 17:15:08.146000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2021-08-27 16:09:51.654000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2021-08-27 16:09:51.657000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2020,UNIV02,1,1,16,17,21,21,22,22
2020,UNIV02,1,2,16,16,23,23,19,7
2020,UNIV02,2,1,2,2,,,,
2020,UNIV02,2,2,2,2,,,,
2020,UNIV03,1,1,,,18,18,20,27
2021-09-30 11:08:53.713000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,,
2020,UNIV13,1,1,15,15,20,21,20,21
2020,UNIV13,1,2,15,15,19,19,20,
2020,UNIV13,2,1,2,2,,,,
2020,UNIV13,2,2,2,2,,,,
2020,UNIV08,2,2,,,2,1,1,
2020,UNIV08,1,2,16,16,17,18,24,16
2020,UNIV08,1,1,16,16,17,18,20,20
2020,UNIV08,2,1,,,2,1,1,
2020,UNIV12,2,1,2,2,,,,
2021-09-08 10:42:44.499000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,
2020,UNIV12,2,2,2,2,,,,
2021-09-08 10:42:44.499000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,
2020,UNIV39,1,1,15,15,18,18,22,22
2020,UNIV39,1,2,15,18,18,18,18,18
2020,UNIV05,1,1,15,15,19,20,20,20
2020,UNIV05,1,2,15,15,20,20,20,
2021-08-31 14:01:14.476000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2021-08-31 14:01:14.474000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2020,UNIV38,2,2,2,2,,,,
2020,UNIV38,2,1,2,2,,,,
2019,UNIV23,1,1,13,13,,,22,20
2019,UNIV23,1,2,13,13,,,22,8
2019,UNIV23,2,1,2,2,,,,
2019,UNIV23,2,2,2,2,,,,
2020,UNIV07,1,1,16,16,16,16,16,20
2020,UNIV07,1,2,16,16,16,16,16,20
2020,UNIV07,2,1,2,2,2,2,2,1
2020,UNIV07,2,2,2,2,2,2,2,
2020,UNIV09,1,1,16,16,18,19,20,20
2021-09-30 13:46:17.617000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,
2020,UNIV09,2,1,2,2,,,,
2020,UNIV09,2,2,2,2,,,,
2020,UNIV21,1,1,15,14,19,20,23,25
2020,UNIV21,1,2,15,16,19,19,20,19
2020,UNIV21,2,1,2,,,,,
2020,UNIV21,2,2,2,,,,,
2021-10-26 19:27:18.265000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,
2021-10-26 19:27:18.267000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,
2020,UNIV26,2,1,1,1,1,1,1,1
2020,UNIV26,2,2,1,1,1,1,1,1
2020,UNIV35,1,1,15,15,18,18,18,18
2020,UNIV35,1,2,15,15,18,18,18,18
2020,UNIV35,2,1,1,1,,,,
2020,UNIV35,2,2,1,1,1,,,
