year,univ_cd,gaeseol_grade_gb,cpx_gyoyuk_time,osce_gyoyuk_time,cpx_student_time,osce_student_time,ins_ip,ins_date,ins_man,upd_ip,upd_date,upd_man,bigo,imsang_gyoyuk_time
2019-09-19 13:45:12.308000,YYYY-MM-DD HH24:MI:SS.FF,univ39,0,0,,,,,,,,,,
2019-09-19 13:45:53.488000,YYYY-MM-DD HH24:MI:SS.FF,univ39,0.6,0.6,,,,,,,,,,
2019-09-19 13:45:53.491000,YYYY-MM-DD HH24:MI:SS.FF,univ39,0.3,0.3,,,,,,,,,,
2019-09-23 11:10:35.815000,YYYY-MM-DD HH24:MI:SS.FF,univ36,0,0,,,,,,,,,,
2019-09-23 11:10:35.818000,YYYY-MM-DD HH24:MI:SS.FF,univ36,0,0,,,,,,,,,,
2019-09-24 11:23:22.776000,YYYY-MM-DD HH24:MI:SS.FF,univ04,0.1,0.2,,,,,,,,,,
2019,UNIV10,5,20,20,0.4,0.4,,,,,,,,
2019,UNIV10,6,20,20,0.4,0.4,,,,,,,,
2019-08-22 11:00:36.070000,YYYY-MM-DD HH24:MI:SS.FF,univ05,0.9,3.6,,,,,,,,,,
2019-08-22 11:00:36.085000,YYYY-MM-DD HH24:MI:SS.FF,univ05,0.3,,,,,,,,,,,
2019-08-22 14:22:18.106000,YYYY-MM-DD HH24:MI:SS.FF,univ33,2.4,3,,,,,,,,,,
2019-08-22 14:22:18.106000,YYYY-MM-DD HH24:MI:SS.FF,univ33,1.4,0.9,,,,,,,,,,
2020-11-12 10:33:18.697000,YYYY-MM-DD HH24:MI:SS.FF,univ29,0.3,0.4,,,,,,,,,,
2020-11-12 10:33:18.699000,YYYY-MM-DD HH24:MI:SS.FF,univ29,0.2,0.4,,,,,,,,,,
2020-11-12 10:33:18.701000,YYYY-MM-DD HH24:MI:SS.FF,univ29,0.2,0.3,,,,,,,,,,
2019-08-29 14:39:22.672000,YYYY-MM-DD HH24:MI:SS.FF,univ29,0,0,,,,,,,,,,
2019-08-30 09:38:54.630000,YYYY-MM-DD HH24:MI:SS.FF,univ14,0,0,,,,,,,,,,
2019-08-30 10:31:05.872000,YYYY-MM-DD HH24:MI:SS.FF,univ21,0.1,0.1,,,,,,,,,,
2019-08-30 10:31:05.876000,YYYY-MM-DD HH24:MI:SS.FF,univ21,0.1,0.3,,,,,,,,,,
2019-08-30 10:31:05.879000,YYYY-MM-DD HH24:MI:SS.FF,univ21,2.4,2.6,,,,,,,,,,
2019-08-30 10:31:05.882000,YYYY-MM-DD HH24:MI:SS.FF,univ21,1.5,3.6,,,,,,,,,,
2019-09-01 19:39:13.187000,YYYY-MM-DD HH24:MI:SS.FF,univ12,0.6,0.2,,,,,,,,,,
2019-09-01 19:27:25.917000,YYYY-MM-DD HH24:MI:SS.FF,univ12,0.7,0.6,,,,,,,,,,
2019-08-30 14:03:59.250000,YYYY-MM-DD HH24:MI:SS.FF,univ12,0.1,0.1,,,,,,,,,,
2021-04-30 13:59:59.538000,YYYY-MM-DD HH24:MI:SS.FF,univ40,0,0.2,,,,,,,,,,
2021-04-30 13:59:59.541000,YYYY-MM-DD HH24:MI:SS.FF,univ40,0.1,0.3,,,,,,,,,,
2019-09-10 16:29:22.153000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,,,,,,,
2019-09-10 16:29:22.159000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,,,,,,,
2019-09-10 16:29:22.161000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,,,,,,,
2019-10-01 11:15:31.137000,YYYY-MM-DD HH24:MI:SS.FF,univ25,0.9,1,,,,,,,,,,
2019-10-01 11:15:31.162000,YYYY-MM-DD HH24:MI:SS.FF,univ25,0.4,0.4,,,,,,,,,,
2019-10-18 11:03:07.687000,YYYY-MM-DD HH24:MI:SS.FF,univ30,0,0,,,,,,,,,,
2019-10-18 11:03:07.709000,YYYY-MM-DD HH24:MI:SS.FF,univ30,0.9,0.9,,,,,,,,,,
2019-10-18 11:03:07.711000,YYYY-MM-DD HH24:MI:SS.FF,univ30,0.6,,,,,,,,,,,
2019-10-18 11:03:07.714000,YYYY-MM-DD HH24:MI:SS.FF,univ30,0.6,0.6,,,,,,,,,,
2020-02-07 09:45:13.197000,YYYY-MM-DD HH24:MI:SS.FF,univ13,0.5,0.2,,,,,,,,,,
2020-02-07 09:45:13.194000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,0.5,,,,,,,,,,
2019-08-20 10:50:45.586000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,,,,,,,
2019-08-21 14:57:33.818000,YYYY-MM-DD HH24:MI:SS.FF,univ35,0.1,,,,,,,,,,,
2019-08-21 14:57:33.818000,YYYY-MM-DD HH24:MI:SS.FF,univ35,20.4,65.3,,,,,,,,,,
2019-08-21 14:57:33.818000,YYYY-MM-DD HH24:MI:SS.FF,univ35,7.1,21.2,,,,,,,,,,
2019-08-30 14:03:59.242000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,0.3,,,,,,,,,,
2020-02-14 00:13:08.528000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,,,,,,,,,
2019-08-26 16:52:07.263000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,,,,,,,,,
2019-08-27 16:48:05.946000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,
2019-08-27 16:48:05.949000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,
2019-08-27 16:48:05.952000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,
2019-08-29 14:41:02.771000,YYYY-MM-DD HH24:MI:SS.FF,univ14,2,3.8,,,,,,,,,,
2019-08-29 15:15:32.731000,YYYY-MM-DD HH24:MI:SS.FF,univ14,0.1,0.1,,,,,,,,,,
2019-08-29 15:03:43.686000,YYYY-MM-DD HH24:MI:SS.FF,univ14,0.9,0.7,,,,,,,,,,
2019-09-05 15:23:48.197000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,0.1,,,,,,,,,,
2019-09-18 10:08:26.786000,YYYY-MM-DD HH24:MI:SS.FF,univ36,0.6,0.4,,,,,,,,,,
2019-09-18 10:08:26.790000,YYYY-MM-DD HH24:MI:SS.FF,univ36,0.6,0.4,,,,,,,,,,
2019-09-24 11:31:51.167000,YYYY-MM-DD HH24:MI:SS.FF,univ04,0,0,,,,,,,,,,
2019-09-27 09:42:46.343000,YYYY-MM-DD HH24:MI:SS.FF,univ04,0.1,0,,,,,,,,,,
2019-10-02 16:20:52.793000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,
2019-10-02 16:20:52.797000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,,,,,,,,
2019-11-15 14:29:25.795000,YYYY-MM-DD HH24:MI:SS.FF,univ15,1.9,2.4,,,,,,,,,,
2019-11-15 14:29:25.798000,YYYY-MM-DD HH24:MI:SS.FF,univ15,3.3,2.6,,,,,,,,,,
2020-02-07 08:58:54.711000,YYYY-MM-DD HH24:MI:SS.FF,univ10,1,0.8,,,,,,,,,,
2020-01-09 14:24:25.476000,YYYY-MM-DD HH24:MI:SS.FF,univ09,0,0,,,,,,,,,,
2020-01-09 14:24:25.479000,YYYY-MM-DD HH24:MI:SS.FF,univ09,0,0,,,,,,,,,,
2020-01-09 14:24:25.482000,YYYY-MM-DD HH24:MI:SS.FF,univ09,0.6,0.6,,,,,,,,,,
2020-01-09 14:24:25.484000,YYYY-MM-DD HH24:MI:SS.FF,univ09,0.3,0.3,,,,,,,,,,
2019-08-05 14:24:13.178000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,
2019-08-05 14:24:13.193000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,
2019-08-07 16:44:08.728000,YYYY-MM-DD HH24:MI:SS.FF,univ02,0.1,0.2,,,,,,,,,,
2019-08-07 16:44:08.728000,YYYY-MM-DD HH24:MI:SS.FF,univ02,0.4,0.3,,,,,,,,,,
2019-08-07 16:44:08.728000,YYYY-MM-DD HH24:MI:SS.FF,univ02,2.1,4.2,,,,,,,,,,
2019-08-07 16:44:08.744000,YYYY-MM-DD HH24:MI:SS.FF,univ02,0.5,0.4,,,,,,,,,,
2019-07-17 11:44:09.057000,YYYY-MM-DD HH24:MI:SS.FF,univ23,0,0,,,,,,,,,,
2019-07-17 12:00:14.474000,YYYY-MM-DD HH24:MI:SS.FF,univ23,0,,,,,,,,,,,
2019-07-17 12:15:11.507000,YYYY-MM-DD HH24:MI:SS.FF,univ23,0.2,0.5,,,,,,,,,,
2019-07-17 12:16:57.692000,YYYY-MM-DD HH24:MI:SS.FF,univ23,0.2,0,,,,,,,,,,
2019-07-19 16:54:21.786000,YYYY-MM-DD HH24:MI:SS.FF,univ24,0.2,0.6,,,,,,,,,,
2019-07-19 09:34:48.044000,YYYY-MM-DD HH24:MI:SS.FF,univ24,0.5,0.5,,,,,,,,,,
2019,UNIV37,4,2,3,0,0,,,,,,,,
2019,UNIV37,3,,2,,0,,,,,,,,
2019,UNIV37,6,21,17,0.1,0.1,,,,,,,,
2019,UNIV37,5,37,34,0.1,0.1,,,,,,,,
2019,UNIV17,6,60,142,1.5,3.6,,,,,,,,
2019,UNIV17,3,4,4,0.1,0.1,,,,,,,,
2019,UNIV17,4,5,12,0.1,0.3,,,,,,,,
2019,UNIV17,5,90,96,2.4,2.6,,,,,,,,
2019,UNIV12,5,80,140,0.4,0.7,,,,,,,,
2019,UNIV12,6,36,56,0.2,0.3,,,,,,,,
2020-09-17 14:18:12.942000,YYYY-MM-DD HH24:MI:SS.FF,univ14,1.6,3.2,,,,,,,,,,
2020-09-17 14:18:12.942000,YYYY-MM-DD HH24:MI:SS.FF,univ14,0,0.1,,,,,,,,,,
2020-09-17 14:18:12.942000,YYYY-MM-DD HH24:MI:SS.FF,univ14,0.1,0.2,,,,,,,,,,
2020-09-17 14:18:12.942000,YYYY-MM-DD HH24:MI:SS.FF,univ14,0.9,1,,,,,,,,,,
2019,UNIV06,3,,,,,,,,,,,,
2020-09-10 15:29:52.516000,YYYY-MM-DD HH24:MI:SS.FF,univ08,0,0.1,,,,,,,,,,
2020-09-10 15:43:15.518000,YYYY-MM-DD HH24:MI:SS.FF,univ08,0.3,0.6,,,,,,,,,,
2019,UNIV06,4,,,,,,,,,,,,
2020-09-04 12:27:35.002000,YYYY-MM-DD HH24:MI:SS.FF,univ02,0,0,,,,,,,,,,
2020-09-04 12:27:35.018000,YYYY-MM-DD HH24:MI:SS.FF,univ02,0.1,0.1,,,,,,,,,,
2020-09-04 12:27:35.018000,YYYY-MM-DD HH24:MI:SS.FF,univ02,0.5,0.9,,,,,,,,,,
2020-09-04 12:27:35.018000,YYYY-MM-DD HH24:MI:SS.FF,univ02,0.1,0.1,,,,,,,,,,
2020-09-17 17:47:13.682000,YYYY-MM-DD HH24:MI:SS.FF,univ36,0.2,0.2,,,,,,,,,,
2020-09-17 17:47:13.682000,YYYY-MM-DD HH24:MI:SS.FF,univ36,0.2,0.2,,,,,,,,,,
2019,UNIV32,4,0,0,0,0,,,,,,,,
2019,UNIV32,3,0,0,0,0,,,,,,,,
2019,UNIV35,5,1,,0,,,,,,,,,
2020-09-28 11:50:12.892000,YYYY-MM-DD HH24:MI:SS.FF,univ32,0,0,,,,,,,,,,
2019,UNIV39,5,92,117,0.5,0.6,,,,,,,,
2019,UNIV39,6,72,58,0.4,0.3,,,,,,,,
2019,UNIV05,3,,72,,0.2,,,,,,,,
2019,UNIV05,6,267,120,0.6,0.3,,,,,,,,
2019,UNIV05,5,75,67,0.2,0.2,,,,,,,,
2019,UNIV05,4,,9,,0,,,,,,,,
2020-08-14 20:13:38.682000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,
2020-08-14 20:13:38.682000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,
2020-08-14 20:13:38.682000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,
2020-08-14 20:13:38.682000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,
2019,UNIV21,5,32,36,0.2,0.2,,,,,,,,
2019,UNIV21,6,20,20,0.1,0.1,,,,,,,,
2020-11-13 16:10:38.865000,YYYY-MM-DD HH24:MI:SS.FF,univ04,1,0.4,,,,,,,,,,
2020-10-26 16:34:19.819000,YYYY-MM-DD HH24:MI:SS.FF,univ04,0.1,0,,,,,,,,,,
2019,UNIV31,3,0,0,0,0,,,,,,,,
2020-11-13 16:10:27.322000,YYYY-MM-DD HH24:MI:SS.FF,univ04,0.9,1.1,,,,,,,,,,
2019,UNIV14,4,4,11,0,0,,,,,,,,
2019,UNIV14,5,78.5,115,0.1,0.2,,,,,,,,
2019,UNIV14,6,,42,,0.1,,,,,,,,
2020-09-28 14:46:59.947000,YYYY-MM-DD HH24:MI:SS.FF,univ12,0.6,0.2,,,,,,,,,,
2020-09-28 14:46:59.947000,YYYY-MM-DD HH24:MI:SS.FF,univ12,0.7,0.6,,,,,,,,,,
2020-09-28 14:46:59.963000,YYYY-MM-DD HH24:MI:SS.FF,univ12,0.2,0.1,,,,,,,,,,
2020-09-28 14:46:59.963000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,0.3,,,,,,,,,,
2019,UNIV26,3,5,,0,,,,,,,,,
2019,UNIV26,5,1648.5,5290,4.7,15.2,,,,,,,,
2019,UNIV26,6,536,1613,1.5,4.6,,,,,,,,
2020-12-31 11:26:03.449000,YYYY-MM-DD HH24:MI:SS.FF,univ13,0.3,0.1,,,,,,,,,,
2020-12-31 11:26:03.460000,YYYY-MM-DD HH24:MI:SS.FF,univ13,0.9,,,,,,,,,,,
2021-05-06 10:43:52.635000,YYYY-MM-DD HH24:MI:SS.FF,univ34,1.1,1.1,,,,,,,,,,
2021-05-06 13:35:38.577000,YYYY-MM-DD HH24:MI:SS.FF,univ34,0.6,0.6,,,,,,,,,,
2021-06-22 16:52:45.930000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,0.1,,,진료수행과 술기,,,,,,,
2021-06-22 16:52:32.782000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,0.1,,,진료수행과 술기,,,,,,,
2021-06-22 17:18:47.486000,YYYY-MM-DD HH24:MI:SS.FF,univ11,0,0.1,,,진료수행과 연습,환자의사사회,,,,,,
2021-06-23 09:36:36.824000,YYYY-MM-DD HH24:MI:SS.FF,univ11,0,0.1,,,진료수행과 연습,환자의사사회,,,,,,
2021-08-27 13:37:35.995000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,
2021-08-27 13:37:35.996000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,
2021-08-27 13:37:35.998000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,
2021-08-27 13:37:36.000000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,
2021-07-11 09:28:26.274000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,2,2,,,2,2,2,2,,,,
2021-07-11 09:30:47.346000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,1,1,,,1,11,1,11,,,,
2021-07-11 09:31:36.237000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,0.4,0.4,,,3,3,3,3,3,3,,
2021-07-11 09:31:36.239000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,0.4,0.4,,,4,4,4,4,4,4,,
2019,UNIV19,6,96,214,0.2,0.5,,,,,,,,
2019,UNIV19,5,104,6,0.2,0,,,,,,,,
2019,UNIV19,3,8,,0,,,,,,,,,
2019,UNIV19,4,4,4,0,0,,,,,,,,
2021-04-30 11:50:20.815000,YYYY-MM-DD HH24:MI:SS.FF,univ40,0.1,0.3,,,,,,,,,,
2021-04-30 13:06:17.311000,YYYY-MM-DD HH24:MI:SS.FF,univ40,0,0.2,,,,,,,,,,
2019,UNIV29,3,0,,0,,,,,,,,,
2019,UNIV29,4,1,,0,,,,,,,,,
2021-05-04 09:31:25.095000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,,,,,,
2021-05-04 09:31:25.099000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,,,,,,
2021-05-04 09:31:25.114000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,,,,,,
2021-05-04 09:32:12.368000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,,,,,,
2021-05-04 18:20:21.667000,YYYY-MM-DD HH24:MI:SS.FF,univ06,29,24.4,,,,,,,,,,
2021-05-04 17:00:48.623000,YYYY-MM-DD HH24:MI:SS.FF,univ06,2.7,0.8,,,,,,,,,,
2021-05-04 18:20:52.685000,YYYY-MM-DD HH24:MI:SS.FF,univ06,37.8,31.9,,,,,,,,,,
2021-05-04 18:20:52.688000,YYYY-MM-DD HH24:MI:SS.FF,univ06,2.6,0.8,,,,,,,,,,
2021-10-25 09:47:06.050000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,4,,,,,,,,,,
2021-04-28 16:14:14.204000,YYYY-MM-DD HH24:MI:SS.FF,univ17,0.2,0.1,,,,,,,,,,
2021-04-28 16:14:14.212000,YYYY-MM-DD HH24:MI:SS.FF,univ17,0.2,0.2,,,,,,,,,,
2019,UNIV03,6,74,295,1,3.8,,,,,,,,
2019,UNIV03,5,28,,0.4,,,,,,,,,
2019,UNIV07,3,0,0,0,0,,,,,,,,
2019,UNIV07,4,0,0,0,0,,,,,,,,
2019,UNIV07,5,64,64,0.1,0.1,,,,,,,,
2019,UNIV07,6,32,32,0.1,0.1,,,,,,,,
2019,UNIV34,3,48,,0.6,,,,,,,,,
2019,UNIV34,4,72,56,1,0.8,,,,,,,,
2021-10-26 10:52:36.273000,YYYY-MM-DD HH24:MI:SS.FF,univ01,6,,,,0,,,,,,,
2021-10-25 13:32:53.189000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,0,,,,,,,
2021-10-25 13:32:53.191000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,0,,,,,,,
2021-10-26 10:49:10.739000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,19,28,87,1,,,,
2021-10-26 13:17:01.458000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,별도 기간 내 1회 자체 실시,8,8,8,입문 전 전반적인 임상 술기 및 의사소통 교육 함께 진행,,,
OSCE) 교실 과별 실습 운영,112,112,,40,,,40,CPX이론 및 학생 역할극 진행,,,,,,
2021-10-26 13:20:12.021000,YYYY-MM-DD HH24:MI:SS.FF,univ35,별도 기간 CPX 및 OSCE 자율학습 운영,72,,,48,16,16,부진학생 별도의 특별 교육과정 진행,,,,
2021-09-03 16:41:15.878000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,72,,,,,,,
2021-09-03 16:41:15.878000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,13,,,,,,,
2021-09-17 18:50:48.822000,YYYY-MM-DD HH24:MI:SS.FF,univ23,0,0.1,,,30,230,42,0,,,,
2021-11-01 13:38:49.956000,YYYY-MM-DD HH24:MI:SS.FF,univ08,14,60,,,,,,,,,,
2021-11-02 08:31:50.050000,YYYY-MM-DD HH24:MI:SS.FF,univ37,70,42,,,,,,,,,,
2021-11-02 08:31:50.050000,YYYY-MM-DD HH24:MI:SS.FF,univ37,2,60,,,,,,,,,,
2021-11-03 15:33:34.349000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,32,,,,,,,
2021-11-03 15:33:34.352000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,32,,,,,,,
2021-11-03 15:33:34.354000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,49,,,,,,,
2021-11-01 13:38:49.956000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,45,79,65,1,,,,
2021-09-10 16:35:46.117000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,15,15,22.5,15,전.후반기 필수 임상실습 입문교육,,,
2021-09-02 15:14:00.406000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,72,,,,,,,
2021-09-02 15:14:00.406000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,102,,,,,,,
2021-09-02 15:14:00.406000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,32,,,,,,,
1),16,환자안전,,,,,,,,,,,,
2),,,,,,,,,,,,,,
2021-09-17 18:56:37.116000,YYYY-MM-DD HH24:MI:SS.FF,univ23,0,0.1,,,4,30,64,16,,,,
2021-09-16 16:40:49.981000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,152,399,,,,,,
2019,UNIV20,5,62,168,0.2,0.6,,,,,,,,
2019,UNIV20,6,154,158,0.5,0.5,,,,,,,,
2021-09-24 11:18:47.520000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,3,,,,,,,
2021-09-24 11:18:47.535000,YYYY-MM-DD HH24:MI:SS.FF,univ14,0,0,,,8,13,128,6,,,,
2021-09-24 11:18:47.535000,YYYY-MM-DD HH24:MI:SS.FF,univ14,0.1,0.1,,,5,16,,,,,,
2021-09-30 13:52:45.751000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,25,15,,,,,,
2021-09-30 15:02:47.466000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,,,,,,
2021-09-23 14:52:59.060000,YYYY-MM-DD HH24:MI:SS.FF,univ16,0.4,0.4,,,,,,40,,,,
2021-09-23 14:52:59.058000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,0.8,,,,,,560,80,,,
2021-09-13 08:55:59.173000,YYYY-MM-DD HH24:MI:SS.FF,univ15,0.5,0.6,3,,,,,5,27,78,,
2021-09-13 08:58:28.150000,YYYY-MM-DD HH24:MI:SS.FF,univ15,0.4,0.3,,,,,,9,,,,
2021-08-26 17:49:13.174000,YYYY-MM-DD HH24:MI:SS.FF,univ24,0.2,,,,2,9,120,,,,,
2021-08-26 17:48:48.521000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,16,,,,,,,
2021-08-26 17:49:13.176000,YYYY-MM-DD HH24:MI:SS.FF,univ24,0.1,,,,8,9,,,,,,
2021-08-31 14:19:30.570000,YYYY-MM-DD HH24:MI:SS.FF,univ28,0,,,,48,,,,,,,
2021-08-31 14:19:30.572000,YYYY-MM-DD HH24:MI:SS.FF,univ28,0.1,,,,46,0,코로나-19로 진행하지 못함,,,,,
2021-08-31 14:19:30.574000,YYYY-MM-DD HH24:MI:SS.FF,univ28,0.1,,,,16,,,,,,,
2021-08-31 14:17:24.103000,YYYY-MM-DD HH24:MI:SS.FF,univ28,0.2,0.1,,,,,,,,,,
2021-09-24 16:08:38.241000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,89,22,환자면담교육_환자/의사/사회5 수업 및 실습시간,,,,,
2021-09-30 14:55:58.333000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,60,3,,,,,,
2021-09-30 15:02:24.117000,YYYY-MM-DD HH24:MI:SS.FF,univ39,65,,,,,,,,,,,
2021-09-30 15:02:02.093000,YYYY-MM-DD HH24:MI:SS.FF,univ39,82,,,,,,,,,,,
