year,univ_cd,gyogwa_unyoung_gb,euiye_1_yn,euiye_2_yn,euihak_1_yn,euihak_2_yn,euihak_3_yn,euihak_4_yn
2019-09-10 11:45:10.262000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,
2019-09-24 10:12:49.002000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,
2019-09-27 18:06:52.362000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,
2019,UNIV10,1,0,0,0,0,0,0
2019,UNIV10,3,1,1,1,1,1,1
2019-08-09 14:57:12.776000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,
2019-08-10 10:29:13.227000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,
2019-08-21 18:19:45.113000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,
2019-08-21 18:19:45.113000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,
2019-08-29 20:16:26.273000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,
2019-09-03 17:15:42.430000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,
2019-09-23 12:45:07.838000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,,
2019-09-23 12:45:07.841000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,,
2019-09-24 10:12:49.006000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,
2020-02-03 10:49:27.440000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,
2019-08-19 17:07:35.865000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,
2019-08-19 17:07:35.865000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,
2019-08-20 10:29:09.738000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,
2019-09-05 15:05:11.222000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,
2019-09-18 09:05:29.042000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,
2019-09-18 09:05:29.063000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,
2019-09-24 18:39:28.918000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,
2019-09-24 18:39:28.922000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,
2019-09-24 18:39:28.924000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,
2019-10-02 11:32:11.903000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,
2019-10-02 11:32:11.909000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,
2020-02-03 16:10:45.993000,YYYY-MM-DD HH24:MI:SS.FF,univ26,,,,,,
2020-02-03 16:10:45.993000,YYYY-MM-DD HH24:MI:SS.FF,univ26,,,,,,
2019-10-31 10:37:25.647000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,
2019-10-31 10:37:25.663000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,
2019-11-05 16:34:09.383000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,,
2020-01-17 13:53:03.171000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,
2020-01-17 13:53:03.171000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,
2019-08-16 09:56:20.209000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,
2019-07-15 17:16:22.967000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,
2021-09-24 16:21:58.518000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,
2021-09-24 16:21:58.518000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,
2019-08-05 13:28:32.429000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,
2019-07-29 11:36:03.535000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,
2019-07-29 11:36:03.597000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,
2019-07-29 16:37:41.994000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,
2019-07-29 16:37:41.994000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,
2019-08-05 13:28:32.429000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,
2019-08-05 13:28:32.429000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,
2019-08-05 14:38:11.945000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,
2019-08-05 14:38:11.945000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,
2019-07-16 14:24:58.405000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,
2019-07-16 14:24:58.412000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,
2019-07-18 14:32:45.335000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,
2019-07-18 14:32:45.335000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,
2019-07-23 11:03:52.327000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,
2019-07-23 11:03:52.327000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,
2019-07-23 11:03:52.327000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,
2019,UNIV41,1,1,1,1,1,1,1
2019,UNIV24,1,1,1,0,0,0,0
2019,UNIV24,3,0,0,1,1,1,1
2020-09-04 10:59:56.080000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,
2019,UNIV32,1,0,0,1,1,0,1
2019,UNIV32,3,0,0,0,0,1,0
2019,UNIV26,1,1,1,1,1,1,1
2021-05-03 16:29:54.110000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,
2021-05-03 16:29:54.112000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,
2019,UNIV35,1,1,1,0,0,0,0
2019,UNIV35,3,0,0,1,1,1,1
2020-08-14 18:23:42.164000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2020-08-14 18:23:42.164000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-26 17:42:06.857000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,
2021-08-26 17:42:06.858000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,
2019,UNIV09,1,1,1,1,1,0,0
2019,UNIV09,3,0,0,0,0,1,1
2019,UNIV14,1,1,1,1,1,0,0
2019,UNIV14,3,0,0,0,0,1,1
2020-09-21 13:59:25.127000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,
2019,UNIV05,1,1,1,1,1,0,1
2019,UNIV05,3,0,0,0,0,1,0
2019,UNIV34,1,1,1,0,0,0,0
2019,UNIV34,3,0,0,1,1,1,1
2019,UNIV22,1,1,1,1,1,1,1
2019,UNIV22,3,0,0,0,0,0,0
2019,UNIV11,1,1,1,0,0,0,0
2019,UNIV11,2,0,0,1,1,0,0
2019,UNIV11,3,0,0,0,0,1,1
2019,UNIV21,1,1,0,1,1,0,0
2019,UNIV21,2,0,1,0,0,0,0
2019,UNIV21,3,0,0,0,0,1,1
2019,UNIV31,1,0,0,1,1,1,1
2019,UNIV13,1,1,1,1,1,1,1
2019,UNIV12,1,1,1,0,0,1,1
2019,UNIV12,2,0,0,1,1,0,0
2019,UNIV12,3,0,0,0,0,0,0
2020-12-29 21:05:59.529000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,
2020-12-29 21:05:59.527000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,
2020,UNIV11,1,1,1,0,0,0,0
2020,UNIV11,2,0,0,1,1,0,0
2020,UNIV11,3,0,0,0,0,1,1
2020,UNIV23,1,1,1,1,1,1,1
2020,UNIV23,3,0,0,0,0,0,0
2021-10-18 15:23:06.341000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,
2021-08-26 10:01:20.072000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,
2021-08-26 10:01:20.067000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,
2020,UNIV27,1,1,1,1,1,1,1
2021-05-04 09:20:50.174000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,
2020,UNIV25,1,0,0,1,1,0,0
2020,UNIV25,3,0,0,0,0,1,1
2019,UNIV16,3,1,1,1,1,1,1
2021-07-09 21:18:32.160000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,,,
2021-07-09 21:18:36.245000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,,,
2021-04-23 10:23:51.971000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,
2021-04-23 10:23:51.973000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,
2021-04-23 10:23:51.975000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,
2019,UNIV19,1,1,1,1,1,0,0
2019,UNIV19,3,0,0,0,0,1,1
2021-06-21 10:13:25.618000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,,
2021-08-26 17:41:02.918000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,
2021-08-19 13:27:50.587000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,,,
2021-10-21 16:46:17.331000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,
2021-10-21 16:46:17.331000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,
2021-05-10 15:03:07.032000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,
2021-05-18 11:35:16.831000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,
2019,UNIV08,1,1,1,1,1,1,1
2019,UNIV03,1,0,0,1,1,0,0
2019,UNIV03,3,0,0,0,0,1,1
2019,UNIV07,1,1,1,1,1,1,1
2021-04-26 15:35:10.653000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,
2021-04-26 15:35:10.658000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,
2020,UNIV31,1,0,0,1,1,1,1
2020,UNIV15,1,1,1,1,1,0,1
2020,UNIV15,3,0,0,0,0,1,0
2021-09-03 17:12:44.245000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,
2021-10-13 08:44:29.982000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,
2021-10-13 08:44:29.984000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,
2020,UNIV34,1,1,1,0,0,0,0
2020,UNIV34,3,0,0,1,1,1,1
2020,UNIV24,1,1,1,0,0,0,0
2020,UNIV24,3,0,0,1,1,1,1
2021-08-26 17:42:06.860000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,
2021-08-27 11:36:36.275000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,
2021-08-27 11:36:36.277000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,
2021-08-27 11:36:36.279000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,
2021-08-27 16:08:58.925000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,
2021-09-02 09:44:46.541000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2021-09-02 09:44:46.541000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2020,UNIV02,3,1,1,1,1,1,1
2020,UNIV03,1,0,0,1,1,0,0
2020,UNIV03,3,0,0,0,0,1,1
2020,UNIV13,1,1,1,1,1,1,1
2020,UNIV08,1,1,1,1,1,1,1
2020,UNIV12,3,0,0,0,0,0,0
2020,UNIV12,1,1,1,0,0,1,1
2020,UNIV12,2,0,0,1,1,0,0
2020,UNIV39,1,1,1,0,0,0,0
2020,UNIV39,3,0,0,1,1,1,1
2020,UNIV05,1,1,1,1,1,0,1
2020,UNIV05,3,0,0,0,0,1,0
2020,UNIV38,1,1,1,1,1,1,1
2019,UNIV23,1,1,1,1,1,1,1
2019,UNIV23,3,0,0,0,0,0,0
2020,UNIV07,1,1,1,1,1,1,1
2021-09-29 12:00:20.908000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,
2021-09-29 10:18:22.417000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,
2020,UNIV21,1,1,0,1,1,0,0
2020,UNIV21,2,0,1,0,0,0,0
2020,UNIV21,3,0,0,0,0,1,1
2020,UNIV26,1,1,1,1,1,1,1
2020,UNIV35,1,1,1,0,0,0,0
2020,UNIV35,3,0,0,1,1,1,1
2020,UNIV32,1,0,0,1,1,0,1
2020,UNIV32,3,0,0,0,0,1,0
2020,UNIV37,1,1,1,1,1,1,1
2020,UNIV06,1,1,1,1,1,0,0
2020,UNIV06,3,0,0,0,0,1,1
2021-10-22 09:14:12.492000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,
2021-10-22 09:14:12.495000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,
2020,UNIV29,1,1,1,1,1,0,0
2020,UNIV29,3,0,0,0,0,1,1
2020,UNIV19,1,1,1,1,1,0,0
2020,UNIV19,3,0,0,0,0,1,1
2020,UNIV33,1,1,1,1,1,1,1
2020,UNIV33,3,0,0,0,0,0,0
