year,univ_cd,hospital_seq,hospital_nm,hospital_juso,daepyo_tel_no,bed_cnt,hospital_gb,ins_ip
2020,UNIV37,3,한림대학교동탄성심병원,경기도 화성시 큰재봉길 7,1522-2500,680,1,
2020,UNIV37,2,한림대학교강남성심병원,서울시 영등포구 신길로 1,1577-5587,600,1,
2020,UNIV37,1,한림대학교성심병원,경기도 안양시 동안구 관평로170번길 22,031-380-1500,830,1,
2020,UNIV37,4,한림대학교한강성심병원,서울특별시 영등포구 버드나루로7길 12,02-2639-5114,300,1,
2021-10-01 14:48:55.134000,YYYY-MM-DD HH24:MI:SS.FF,univ36,2,,,,,
2021-10-01 14:48:55.136000,YYYY-MM-DD HH24:MI:SS.FF,univ36,2,,,,,
2020,UNIV25,1,제주대학교 병원,제주시 아란13길 14 제주대학교 병원,064-717-1100,500,1,
2021-04-28 16:21:40.429000,YYYY-MM-DD HH24:MI:SS.FF,univ17,1,,,,,
2021-04-28 16:21:40.431000,YYYY-MM-DD HH24:MI:SS.FF,univ17,1,,,,,
2019,UNIV29,1,한양대학교 구리병원,경기도 구리시 경춘로 153,1644 - 9118,597,1,
2021-08-31 16:39:59.406000,YYYY-MM-DD HH24:MI:SS.FF,univ40,1,,,,,
2021-05-04 09:39:46.543000,YYYY-MM-DD HH24:MI:SS.FF,univ28,1,,,,,
2021-04-23 12:10:11.991000,YYYY-MM-DD HH24:MI:SS.FF,univ23,1,,,,,
2021-04-30 16:24:11.750000,YYYY-MM-DD HH24:MI:SS.FF,univ09,1,,,,,
2021-04-30 16:24:11.752000,YYYY-MM-DD HH24:MI:SS.FF,univ09,1,,,,,
2021-06-18 15:56:54.022000,YYYY-MM-DD HH24:MI:SS.FF,univ11,1,,,,,
2021-06-18 15:56:54.026000,YYYY-MM-DD HH24:MI:SS.FF,univ11,1,,,,,
2021-06-18 15:56:54.024000,YYYY-MM-DD HH24:MI:SS.FF,univ11,1,,,,,
2021-05-17 17:40:56.329000,YYYY-MM-DD HH24:MI:SS.FF,univ20,1,,,,,
2019,UNIV16,2,순천향대학교 천안병원,충남 천안시 동남구 순천향6길 31,041-570-2114,899,1,
2021-05-17 17:40:56.331000,YYYY-MM-DD HH24:MI:SS.FF,univ20,1,,,,,
2019,UNIV16,4,순천향대학교 서울병원,서울시 용산구 대사관로 59,02-709-9114,725,1,
2020,UNIV10,1,가톨릭관동대학교 국제성모병원,우)22711 /인천광역시 서구 심곡로 100번길 25,1600-8291,591,1,
2021-07-12 21:42:10.192000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,1,,,,,
2021-07-12 21:42:10.189000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,1,,,,,
2021-07-12 21:42:10.195000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,2,,,,,
2021-07-12 21:42:10.193000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,2,,,,,
2021-10-26 16:38:13.774000,YYYY-MM-DD HH24:MI:SS.FF,univ35,1,,,,,
2019,UNIV03,1,건국대학교 충주병원,충북 충주시 국원대로 82,043-840-8200,327,1,
2019,UNIV03,2,건국대학교병원,서울시 광진구 능동로 120-1,1588-1533,870,1,
2021-06-18 15:56:18.153000,YYYY-MM-DD HH24:MI:SS.FF,univ11,1,,,,,
2021-06-18 15:56:18.155000,YYYY-MM-DD HH24:MI:SS.FF,univ11,1,,,,,
2021-06-18 15:56:18.157000,YYYY-MM-DD HH24:MI:SS.FF,univ11,1,,,,,
2020,UNIV17,1,아주대학교병원,경기도 수원시 영통구 월드컵로 164,1688-6114,1187,1,
2021-10-27 15:51:33.439000,YYYY-MM-DD HH24:MI:SS.FF,univ08,1,,,,,
2021-10-27 15:51:33.441000,YYYY-MM-DD HH24:MI:SS.FF,univ08,1,,,,,
2020,UNIV15,1,삼성창원병원,경남 창원시 마산회원구 팔용로 158,055-233-8899,720,1,
2021-10-25 16:15:27.407000,YYYY-MM-DD HH24:MI:SS.FF,univ19,2,,,,,
2021-09-07 15:14:25.169000,YYYY-MM-DD HH24:MI:SS.FF,univ24,2,,,,,
2020,UNIV20,1,영남대학교 의과대학 부속병원,대구시 남구 현충로 170,053-640-6806,1200,1,
2020,UNIV34,1,계명대학교 동산병원,대구광역시 달서구 달구벌대로 1035,1577-6622,912,1,
2021-09-07 15:14:25.169000,YYYY-MM-DD HH24:MI:SS.FF,univ24,2,,,,,
2021-09-14 17:49:52.166000,YYYY-MM-DD HH24:MI:SS.FF,univ25,1,,,,,
2021-09-14 17:48:52.603000,YYYY-MM-DD HH24:MI:SS.FF,univ25,2,,,,,
2021-09-14 17:11:59.876000,YYYY-MM-DD HH24:MI:SS.FF,univ25,2,,,,,
대명동),053-650-3000,874,1,,,,,
2021-11-04 17:01:24.596000,YYYY-MM-DD HH24:MI:SS.FF,univ01,1,,,,,
2021-11-04 17:01:24.598000,YYYY-MM-DD HH24:MI:SS.FF,univ01,2,,,,,
2021-08-31 16:38:17.558000,YYYY-MM-DD HH24:MI:SS.FF,univ40,2,,,,,
2021-08-31 16:38:17.558000,YYYY-MM-DD HH24:MI:SS.FF,univ40,2,,,,,
2020,UNIV29,1,한양대학교 구리병원,경기도 구리시 경춘로 153,1644 - 9118,597,1,
2021-08-31 16:38:17.558000,YYYY-MM-DD HH24:MI:SS.FF,univ40,1,,,,,
2020,UNIV03,1,건국대학교 충주병원,충북 충주시 국원대로 82,043-840-8200,327,1,
2020,UNIV03,2,건국대학교병원,서울시 광진구 능동로 120-1,1588-1533,870,1,
2020,UNIV41,5,서울백병원,서울특별시 중구 마른내로 9,02-2270-0114,205,1,
2020,UNIV41,1,부산백병원,부산광역시 부산진구 복지로 75,051-890-6114,859,1,
2020,UNIV41,2,상계백병원,서울특별시 노원구 동일로 1342,02-950-1114,597,1,
2020,UNIV41,3,일산백병원,경기도 고양시 일산서구 주화로 170,031-910-7114,647,1,
2020,UNIV41,4,해운대백병원,부산광역시 해운대구 해운대로 875,051-797-0114,906,1,
2020,UNIV33,1,단국대학교의과대학부속병원,충청남도 천안시 동남구 망향로 201,15880063,809,1,
2021-10-07 14:23:21.088000,YYYY-MM-DD HH24:MI:SS.FF,univ09,1,,,,,
2021-10-07 14:23:21.090000,YYYY-MM-DD HH24:MI:SS.FF,univ09,2,,,,,
2020,UNIV35,1,전북대학교병원,전북 전주시 덕진구 건지로 20,1588-7877,1134,1,
2020,UNIV12,1,동아대병원,부산광역시 서구 대신공원로 26,051)240-2000,1012,1,
2020,UNIV39,1,경주병원,경상북도 경주시 동대로 87,054-748-9300,376,1,
2020,UNIV39,2,일산병원,경기도 고양시 일산동구 동국로 27,1577-7000,661,1,
2020,UNIV14,1,서울대학교병원,서울시 종로구 대학로 101,02-2072-2114,1751,1,
2020,UNIV14,2,서울특별시보라매병원,서울시 동작구 보라매로 5길 20,02-870-2114,763,1,
2020,UNIV14,3,분당서울대학교병원,경기도 성남시 분당구 구미로 173번길 82,1588-3369,1334,1,
2020,UNIV23,1,인하대병원,인천광역시 중구 인항로 27,032-890-2000,925,1,
2021-09-30 10:02:53.230000,YYYY-MM-DD HH24:MI:SS.FF,univ17,1,,,,,
2021-09-30 10:02:53.233000,YYYY-MM-DD HH24:MI:SS.FF,univ17,1,,,,,
