year,univ_cd,program_seq,program_nm,program_gb,program_cmt
2020-09-24 15:40:03.251000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-09-24 15:40:03.251000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-09-24 16:00:50.145000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-09-24 15:42:13.529000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-09-24 15:51:49.366000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-09-24 15:52:00.586000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-09-25 13:55:24.775000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,
2019,UNIV21,2,멘토멘티 프로그램,1,학습을  도와 줄수 있는 멘토를 멘티 지원자에게 매칭함
2019,UNIV21,6,성희롱 예방 프로그램,2,각 학년의 특성에 맞게 예방 프로그램 진행
2019,UNIV21,8,심리검사 해석상담,2,각 학년별 심리검사 해석상담 시행
2019,UNIV21,1,진로talk concert,4,의과대학 각 과에 대한 소개등을 통해 학생의 진로를 고민할 수 있도록 함
2019,UNIV21,4,개인상담,2,학업부진
2019,UNIV21,3,심리검사,2,학부
문화,체육,학습 등 전체 포함),,,
2019,UNIV21,5,동문선배와의 만남,4,각 분야에서 활동하는 동문 선배를 모시고 본인의 미래 설계
2019,UNIV21,9,집단상담,2,집단상담프로그램 시행
2020-09-25 14:52:42.558000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,
2020-09-25 14:52:42.558000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,
2020-09-25 14:52:42.574000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,
총학생회,중앙동아리) 활동 지원,1,,,
2019,UNIV26,6,심리검사 및 해석상담,2,
2019,UNIV26,8,재학생 의식조사 및 학생생활연구지 출판 및 연구,2,
2019,UNIV26,2,재학생 상해보험 관련,1,
학습,진로,생활),1,,
2019,UNIV26,4,국내ㆍ외 봉사 및 문화교류 사업,4,
2019,UNIV26,7,개인상담,집단상담,
2019,UNIV26,3,교내ㆍ외 장학금 관리,1,
2020-12-31 11:38:33.085000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,
2019,UNIV25,1,pms,1,입학전 2주동안 미리 의과대학을 체험하여  적응력을 높히는 것을 목적으로 학교
강점+자소서 작성)별 프로그램 내용을 구별하여 진행,,,,,
2019,UNIV12,5,마음봄 특강,,인성 및 적성과 관련하여 표준화된 심리검사를 활용하여 자기를 보다 객관적으로 관찰하여 학교생활 적응을 조력하는 프로그램
2020-09-25 14:52:42.558000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,
2019,UNIV41,2,분담지도교수 프로그램,1,학생 개인별 분담지도교수 지정하여 졸업시까지 관리
2020-02-11 15:00:56.574000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,
2019-08-27 10:32:02.282000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,
2019-09-26 15:52:08.901000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-26 15:52:08.907000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-26 15:52:08.908000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-26 15:52:08.910000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-26 15:52:08.914000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-08-14 16:12:41.237000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,
2019-08-14 16:12:41.240000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,
2019-08-14 16:12:41.258000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,
2019-08-20 14:32:13.917000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-27 13:52:50.556000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-20 14:32:13.932000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-20 14:32:13.932000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-27 13:41:33.615000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-20 14:34:36.936000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-20 14:34:36.921000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-20 14:32:13.932000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-27 13:41:33.618000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2019-08-22 09:53:58.816000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-22 09:57:23.673000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-22 10:02:36.944000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-29 13:40:44.381000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,
2019-08-29 13:41:02.294000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,
2019-08-29 13:40:25.123000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,
2019-08-29 13:39:26.294000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,
2019-08-31 18:04:32.891000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-31 17:53:31.895000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-31 17:53:31.904000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-31 18:12:12.562000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-31 18:14:33.326000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-31 17:56:53.702000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-31 17:56:53.704000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-31 18:04:32.886000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-31 18:06:53.895000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-08-31 18:10:08.086000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2019-09-09 14:37:43.537000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 14:37:43.537000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-08-22 09:50:31.630000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-22 09:48:20.960000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-21 20:00:10.046000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-22 09:49:55.468000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-22 09:45:21.935000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-22 09:48:58.290000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-22 10:02:04.239000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-26 11:23:23.905000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-26 11:23:23.905000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-26 11:23:23.905000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-26 11:23:23.905000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-26 11:23:23.921000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-26 11:23:23.921000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-26 11:23:23.921000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,
2019-08-29 11:22:08.536000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-29 11:23:19.654000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-29 11:26:53.538000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-29 11:24:35.132000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-29 11:27:52.944000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-29 11:31:07.076000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-29 11:32:40.643000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-29 11:33:40.398000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-29 11:34:17.291000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-29 11:35:00.043000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-29 11:35:30.692000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-29 11:36:04.178000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-29 11:36:38.556000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-29 11:37:47.672000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-09-04 17:12:36.867000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2019-09-04 17:12:36.864000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2019-09-04 17:12:36.862000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2019-09-04 16:44:59.881000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2019-08-12 14:45:57.780000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-12 14:47:36.472000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-12 14:48:17.691000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-12 14:48:46.859000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-12 14:49:33.890000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-12 14:50:13.766000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-12 14:50:38.067000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-12 14:51:00.532000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2019-08-27 10:13:23.027000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,
2019-08-27 10:13:23.038000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,
2019-08-27 10:27:42.226000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,
2019-08-27 10:13:23.042000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,
2019-08-27 10:27:42.215000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,
2019-08-27 10:27:42.220000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,
2019-08-29 11:17:00.043000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-08-29 11:31:38.181000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,
2019-09-11 13:24:43.166000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-11 13:24:43.171000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-27 15:16:22.468000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2019-09-27 15:18:28.975000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2019-09-27 15:03:26.139000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2019-09-27 15:18:28.972000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2019-09-11 13:25:51.092000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-11 13:25:51.094000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-11 13:25:51.096000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,
2019-09-16 17:37:05.961000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-16 17:37:05.988000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-16 17:37:05.990000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-16 17:38:28.905000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-27 15:02:39.110000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2019-09-27 15:01:23.560000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2019-10-02 16:26:02.093000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,
2019-10-02 16:29:47.394000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,
2019-10-02 16:31:03.418000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,
2019-10-02 16:28:10.077000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,
2019-10-02 16:28:51.374000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,
2019-10-02 16:29:47.386000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,
2019-10-02 16:31:03.416000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,
2019-11-14 16:10:05.993000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,
2019-11-13 17:23:28.706000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,
2019-11-14 16:10:05.980000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,
2019-11-14 16:10:05.974000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,
2019-11-14 16:11:55.821000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,
2019-09-09 14:36:26.827000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 14:15:51.993000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 14:17:02.265000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 14:18:48.741000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 14:21:46.546000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2020-02-06 15:00:22.796000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2019-09-23 15:33:01.597000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,
2020-02-06 14:43:10.089000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
인천) 학생상담,2,대학생활적응,가족,이성 및 대인관계,성격
2019,UNIV10,10,의학 6학년 성적부진학생 멘토링 프로그램,1,의학 6학년 및 졸업생 중 성적부진학생 개인별 학업/생활 멘토링 프로그램
강릉) 학생상담,2,대학생활적응,가족,이성 및 대인관계,성격
2019,UNIV10,11,진로 박람회/설명회 프로그램,4,의료산업 및 병원 전공의 지원 관련 진로 박람회/설명회 프로그램
2019,UNIV10,13,정신건강의학과 MMPI 검사 프로그램,2,의학 5학년 대상 정신건강의학과 MMPI 검사 프로그램
인천),1,신진 교원들에게 동일학년 학생들을 4~5명씩 배정하여 학업/생활/진로/교우관계 등에 대해 상담하고 지원해 주는 수평적 학생지원 프로그램,,,
학생부),9,경제적 곤란 등 재정관련 학생상담 지원 프로그램,,,
2019,UNIV10,6,국립숲체원 인성강화 프로그램,3,국립숲체원 인성강화 프로그램을 통한 학생 인성강화
2019,UNIV10,14,학생부 상담/전문상담 프로그램,1,학생부 학생상담 연수교육 이수 교수진/정신건강의학과 전문의 학생 개별/전문상담 및 멘토링
2019,UNIV10,15,LINK+ 지원 명사특강 프로그램,3,사회 저명인사 등의 명사특강으로 의학 3~6학년을 대상으로 한 자기계발 지원 프로그램
2019,UNIV10,12,Research Grand Round,3,의학연구 관련 특강 및 학생 진로 탐색 지원 프로그램
2019,UNIV10,16,특성화 선택과정,4,의학 6학년 대상 진로 및 경력개발 지원 전문가 특강 프로그램
예과 1~2학년) 자기계발 및 인성강화 학생교육 지원 프로그램,,,,,
본과 1~3학년) 학생 전체 및 학생지도 교수진 가을등산을 통한 인성,체력 강화 및 정서순화 프로그램,,,,
사제동행 세미나),1,중견 이상 교원이 각 학년별로 학생들을 1~2명씩 배정받아 학업/생활/진로/선후배관계/예의범절 등에 대한 상담 및 지원 하는 수직적 지원 프로그램,,,
국가고시위원회/정신건강의학과 교수),,,,,
2019-09-04 17:09:17.478000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2019-09-04 17:09:17.468000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2019-09-04 17:09:17.476000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2019-09-04 17:09:17.460000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2019-09-04 17:09:17.463000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2019-09-04 17:09:17.471000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2019-09-04 17:12:36.869000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2019-09-09 14:21:46.546000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 14:23:13.366000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 14:24:05.838000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 14:25:19.723000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 14:37:57.914000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 14:28:10.554000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 14:43:09.345000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 14:34:16.510000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-09 14:35:33.597000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,
2019-09-10 17:31:00.375000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,
2019-09-27 15:04:50.795000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2019-09-27 15:18:47.813000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2019-09-27 15:16:51.577000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2019-10-18 11:43:05.315000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-10-18 11:43:05.343000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-10-18 11:43:05.345000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-10-18 11:43:05.347000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-10-18 11:43:05.348000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-10-18 11:43:05.350000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-10-18 11:43:05.352000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-10-18 11:43:05.353000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-10-18 11:43:05.361000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2019-10-18 11:43:05.362000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,
2020-01-08 10:08:38.391000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,
2020-01-08 10:08:38.406000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,
2019-10-02 16:31:43.242000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,
2019-11-12 16:21:54.148000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,
2019-11-12 16:21:54.182000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,
2020-02-06 15:06:42.958000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-06 14:41:16.691000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-06 14:54:11.619000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-06 15:06:42.958000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-06 15:03:02.084000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-06 16:16:34.503000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-02-06 16:22:57.866000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2019-07-15 09:55:46.236000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,
2019-08-29 13:39:05.731000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,
2019-08-01 15:28:26.365000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,
2019-08-01 15:37:01.443000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,
2019-08-01 15:47:04.961000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,
2019-08-01 15:51:55.453000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,
2019-08-01 15:57:56.174000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,
2019-08-01 15:57:56.176000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,
2019-08-01 15:57:56.181000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,
2020-09-25 14:14:17.182000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,
2019,UNIV37,3,MLST-2,1,대학본부 역량교육혁신원 학습전략검사
2019,UNIV37,2,MMPI,2,대학본부 학생생활상담센터 신입생 대상 심리검사
2019,UNIV37,1,MBTI/STRONG,1,대학본부 취업진로지원센터 MBTI 성격유형검사
2019,UNIV37,4,개인 상담 프로그램,2,대학본부 학생생활상담센터 개인 상담 프로그램
2021-05-06 13:47:34.882000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2019,UNIV31,1,MMPI-2 다면적인성검사,2,대학생활부적응예방을 위한 자기탐색 및 심층상담
2020-08-11 15:18:31.810000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,
2019,UNIV24,3,의학교육 학생 모니터링단,1,각 학년별로 자발적 참여 학생들을 대상으로 교과목에 대한 학생 의견을 수집함
Learning community) 위하,1,지도교수 1인과 의예과 신입생 7인으로 구성된 조별 활동을 통해 원만한 학교생활 적응을 도움,,,
2019,UNIV06,8,실험실 안전교육,1,실험실 안전사고 예방을 위한 재학생 대상 안전교육 실시
2019,UNIV24,12,의대축제,3,5월 무등제
2019,UNIV24,8,마음 돌<아>보기,2,학습
2019,UNIV24,6,의학교육 시신기증인 합동 추모식,1,해부실습교육을 위해 시신을 기증해주신 분들을 위해 기증인 유가족
2019,UNIV24,5,의예과 신입생 오리엔테이션,1,의예과 교육과정 소개 및 의예과 학습 및 생활 안내
교실)별로 학생들에게 전공과목을 소개하고 향후 진로 방향에 대해 의견 나눔,,,,,
2019,UNIV24,1,굴비조,1,지도교수 1인에게 각 학년 당 1명씩 배정하여 학습 및 생활지도 수행
2019,UNIV24,15,해외 기초/임상 실습,4,국외 대학 및 병원에서 기초/임상 실습하는 것을 지원
2019,UNIV24,9,건강검진 및 예방접종,2,의예과 입학시부터 각 학년별로 학교 보건진료소에서 건강검진 실시하고 필요한 예방접종 실시 및 안내
2019,UNIV24,4,의학과 진입생 오리엔테이션,1,의학과 교육과정 소개 및 의학과 1학년 학습 및 생활 안내
2019,UNIV24,11,동아리대항 체육대회,3,동아리의 활성화를 위해 친목 동아리를 중심으로 체육대회를 개최하고 있음
White coat ceremony),1,임상실습의 시작과 의사를 상징하는 하얀 가운을 입혀주는 `White Coat Ceremony` 행사를 부모님 및 지도교수와 함께 진행,,,
2019,UNIV24,14,기초의학연구 참여,4,기초의학교실을 중심으로 방학 중이나 학기중에 학생들이 교수연구에 참여하는 것을 지원
15) 등 총 30개 학생 동아리 활동 지원,,,,,
2019,UNIV24,13,초청 강연,4,연구 및 보건의료 정책 등 다양한 분야의 전문가를 초청하여 진로 탐색을 도움
2019,UNIV32,2,담임반제도,9,학습
2019,UNIV32,4,학생상담센터,2,개인적인 생활
2019,UNIV32,6,학생지도위원회,1,학생의 상담과 지도를 총괄
2019,UNIV32,3,동아리 지도교수제,3,동아리 생활과 관련된 지도
2019,UNIV32,1,학년지도교수제,1,학습 및 학교생활 관련 상담과 지도
2019,UNIV06,3,병원 견학,3,의예과 1학년을 대상으로 의료에 대한 이해의 폭을 넓히고
2019,UNIV06,6,수료식,1,의예과 2학년 학생들이 의예과를 수료하고 의학과로 진입하기 전에 2년간 수학한 의예과 생활을 되돌아보고 추억함
2019,UNIV34,1,Dream설계프로젝트,1,진로탐색 및 대학생활 설계
2019,UNIV06,4,수료여행,1,의예과 2학년 학생들이 본과 진입에 앞서 지난 학교 생활을 되돌아보며 동기 및 교수님들과 화합의 장을 마련하는 시간을 가짐
2019,UNIV06,2,비타민 데이,1,중간/기말시험 기간에 학업에 지친 의예과 재학생들을 격려하고 학습 분위기를 조성키 위해 시행
2019,UNIV06,7,신입생 오리엔테이션,1,의예과 신입생의 대학생활 조기적응 유도
2020-09-14 18:26:49.858000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2019,UNIV06,9,성희롱·성폭력 예방교육,1,성희롱·성폭력 예방 및 대처방안에 대한 교육 실시
2020-09-14 18:30:53.714000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
