year,univ_cd,campus_seq,campus_nm,univ_zip_cd,univ_juso,daepyo_tel_no,daepyo_fax_no
2019-08-23 16:39:57.677000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,
2019-08-23 14:38:41.700000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,
2019-08-28 11:41:54.934000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,
2019-10-29 11:15:01.087000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,
2019-10-30 14:07:59.225000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,
2019-11-05 16:07:04.284000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,
2019-11-05 16:21:29.418000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,
2019-11-05 16:21:29.420000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,
2019-11-05 16:07:04.287000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,
2020-01-16 11:29:18.232000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,
2020-02-07 14:36:33.097000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,
2019-07-15 10:46:51.928000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,
2019-11-11 17:05:59.972000,YYYY-MM-DD HH24:MI:SS.FF,univ26,,,,,
2019-08-21 13:26:32.828000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,
2019-08-02 13:33:32.704000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,
2019-08-05 10:34:49.671000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,
2019-08-05 09:42:54.354000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,
2019-08-07 15:22:24.660000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,
2019-08-02 10:13:58.186000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,
2019-07-17 16:44:07.216000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,
2019-07-18 10:49:49.169000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,
2019-07-22 17:23:43.451000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,
2019-08-27 14:11:48.329000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,
2019-08-27 14:11:29.045000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,
2019-08-27 14:11:31.888000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,
2019-08-27 14:12:14.144000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,
2020-09-17 16:49:27.963000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,
2019-08-21 15:13:49.289000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,
2019-09-02 17:44:19.436000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,
2021-05-03 16:27:27.468000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,
2020-02-05 20:09:10.134000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,
2019-08-16 11:09:48.766000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,
2019-08-20 14:51:29.246000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,
2019-08-28 18:41:24.773000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,
2019-09-03 17:04:14.941000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,
2019-09-04 10:58:46.148000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,
2019-09-04 11:01:41.997000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,
2019-09-04 16:02:22.241000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,
2020-09-28 14:07:48.294000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,
2019-09-10 15:43:08.634000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,
2019-09-10 15:43:08.634000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,
2019-07-24 17:30:31.334000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,
2019-08-20 10:43:28.528000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,
2019-10-29 11:15:01.072000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,
2019-08-20 10:43:28.528000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,
2019-08-21 13:26:32.813000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,
2019-08-21 13:26:32.813000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,
2019-08-23 14:41:38.539000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,
2019-08-23 16:39:57.677000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,
2019-08-23 14:38:41.700000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,
2019-08-28 11:41:54.934000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,
2019-10-29 11:15:01.087000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,
2019-10-30 14:07:59.225000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,
2019-11-05 16:07:04.284000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,
2019-11-05 16:21:29.418000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,
2019-11-05 16:21:29.420000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,
2019-11-05 16:07:04.287000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,
2020-01-16 11:29:18.232000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,
2020-02-07 14:36:33.097000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,
2019-07-15 10:46:51.928000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,
2019-11-11 17:05:59.972000,YYYY-MM-DD HH24:MI:SS.FF,univ26,,,,,
2019-08-21 13:26:32.828000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,
2019-08-02 13:33:32.704000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,
2019-08-05 10:34:49.671000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,
2019-08-05 09:42:54.354000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,
2019-08-07 15:22:24.660000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,
2021-08-27 16:05:32.627000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,
2019-07-17 16:44:07.216000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,
2019-07-18 10:49:49.169000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,
2019-07-22 17:23:43.451000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,
2019,UNIV08,1,서울캠퍼스,02841,서울시 성북구 고려대로 73,02-2286-1139,02-924-4958
내곡동),033-649-7441,033-641-1074,,,,,
2021-04-30 15:34:56.288000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,
2021-06-18 10:50:37.382000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,
2021-08-26 09:09:57.777000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,,
2020,UNIV13,1,양산캠퍼스,50612,경남 양산시 물금읍 부산대학로 49,,
2020,UNIV40,2,20192,6,5,7,8
2021-09-08 10:08:39.802000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,
2020,UNIV39,2,경주캠퍼스,38066,경북 경주시 동대로 123,동국대학교 의과대학,054-770-2400
2020,UNIV08,1,서울캠퍼스,02841,서울시 성북구 고려대로 73,02-2286-1139,02-924-4958
동대신동) 의과대학,051-240-2903,051-240-2971,,,,,
동대신동 3가),051-200-7000,051-248-6015,,,,,
2021-08-30 10:32:30.905000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,
2021-08-26 15:53:37.731000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,
2021-08-27 13:44:55.397000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,
2021-08-27 13:44:55.395000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,
2020,UNIV40,3,2019,2,1,3,4
2021-08-27 17:06:13.864000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,
2021-08-27 17:06:27.463000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,
2020,UNIV34,1,계명대학교 성서캠퍼스,42601,대구광역시 달서구 달구벌대로 1095,053)258-7312,053)258-7319
2020,UNIV40,4,기타,,,,
2020,UNIV40,5,기타캠퍼스,,,,
2021-08-30 10:32:30.905000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,
2021-08-30 16:21:04.316000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,
2021-08-31 10:24:06.957000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,
2020,UNIV14,1,서울대학교 의과대학,03080,서울시 종로구 대학로 103,02-740-8114,
2021-10-19 07:58:40.528000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,
2020,UNIV02,1,성심교정,14662,경기도 부천시 지봉로 43,,
2020,UNIV02,2,성의교정,06591,서울특별시 서초구 반포대로 222,02-2258-7092,02-2258-7744
2020,UNIV02,3,성신교정,03083,서울특별시 종로구 창경궁로 296-12,,
2020,UNIV11,1,루가캠퍼스,42472,대구광역시 남구 두류공원로 17길 33,053-650-4455,053-621-4106
2021-09-27 10:43:48.301000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,
2020,UNIV35,1,전주캠퍼스,54907,전북 전주시 덕진구 건지로20,0632703055,0632703053
2020,UNIV18,1,신촌캠퍼스,03722,서울특별시 서대문구 연세로 50-1,02-2228-2021,02-2227-7988
2020,UNIV06,1,칠암캠퍼스,52727,진주시 진주대로 816번길 15,055-772-8000,055-7728013
아라일동 제주대학교),064-754-3819,064-725-2593,,,,,
2020,UNIV19,1,,26426,강원도 원주시 일산로 20 사무팀,033-741-0212,033-742-5034
2020,UNIV07,1,서울,,서울특별시 동대문구 경희대로 26 제2의학과 6층 의과대학 행정실,02-961-0274,02-961-9573
장기려로) 262,051-990-6406,051-241-5458,,,,,
2021-09-27 17:47:29.646000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,
2021-10-27 22:11:01.411000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,,
2020,UNIV15,1,성균관대 의과대학 임상교육장,06355,서울시 강남구 일원로 115 삼성생명 일원역빌딩 의과대학 임상교육장 B동9층,02-2148-9910,02-2148-9919
2020,UNIV15,2,성균관대 자연과학캠퍼스,16419,경기도 수원시 장안구 서부로 2066 성균관대학교 의과대학,031-299-6021,031-299-6029
2020,UNIV03,2,글로컬캠퍼스,27478,충북 충주시 충원대로 268,02-2049-6197,02-2049-6192
2020,UNIV21,1,서울,05505,서울특별시 송파구 올림픽로 43길 88 울산의과대학,02-3010-4208~19,02-3010-4240
2020,UNIV24,2,학동캠퍼스,61469,광주광역시 동구 백서로 160,062) 220-4005,062) 232-9708
2020,UNIV24,3,화순캠퍼스,58128,전라남도 화순군 화순읍 서양로 264,061-379-2511,061)379-2560
2020,UNIV37,1,,24252,강원도 춘천시 한림대학길 1,033-248-2501,033-256-3426
2020,UNIV26,1,중앙대학교,06974,서울시 동작구 흑석로 84 중앙대학교 의과대학,02-820-5635,02-813-5387
2021-11-03 16:06:12.659000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,
한양대학교),02-2220-0114,,,,,,
2020,UNIV41,1,인제대학교 부산캠퍼스,47392,부산광역시 부산진구 복지로75,051-890-6625,051-895-1864
2020,UNIV41,3,인제대학교,50834,경상남도 김해시 인제로 197,055-334-7111,
2021-09-28 10:34:12.347000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,
2020,UNIV31,1,춘천캠퍼스,24341,강원도 춘천시 강원대학길 1,강원대학교 의학전문대학원 행정실,
